,c1,c2,c3,c4,c5
396,"216,244,246","222,179,67","198,98,49","234,162,162","231,191,224"
397,"236,236,236","178,178,178","115,117,54","35,197,38","255,234,234"
398,"216,216,216","229,233,225","139,109,150","150,203,223","5,3,4"
399,"239,205,255","140,124,73","246,175,156","208,153,219","105,52,52"
400,"167,50,11","104,131,111","146,206,150","208,184,184","240,221,161"
401,"170,0,154","236,189,142","210,145,223","37,70,137","133,99,99"
402,"191,158,65","137,207,227","13,201,63","60,10,10","169,78,78"
403,"255,90,0","242,171,246","97,0,131","253,202,241","154,149,97"
404,"0,0,0","126,132,221","17,93,171","255,242,165","184,243,244"
405,"60,72,108","240,240,240","182,0,0","106,167,107","139,34,82"
406,"156,202,251","23,106,182","0,15,255","194,227,156","238,78,96"
407,"0,2,34","231,162,91","229,171,131","255,248,225","0,15,255"
408,"127,172,81","182,244,196","169,174,152","139,28,98","1,66,65"
