,c1,c2,c3,c4,c5,c1_feel,c1_sentiment,c2_feel,c2_sentiment,c3_feel,c3_sentiment,c4_feel,c4_sentiment,c5_feel,c5_sentiment
243,"199,171,143","210,240,226","175,173,201","101,161,153","139,100,90",,0,,0,,0,,0,,0
244,"172,110,110","122,170,139","119,155,192","204,203,113","132,128,189",,0,,0,,0,,0,,0
245,"254,207,210","254,247,247","42,66,63","71,109,79","192,208,149",,0,,0,,0,,0,,0
246,"255,160,0","62,222,4","4,98,93","247,255,0","0,15,0",,0,,0,,0,,0,,0
247,"255,237,0","255,175,7","27,196,33","7,52,106","115,146,166",,0,,0,,0,,0,,0
248,"98,170,248","153,223,255","96,76,133","147,146,207","205,194,233",,0,,0,,0,,0,,0
249,"117,10,100","247,255,0","254,37,175","1,126,125","255,134,0",,0,,0,,0,,0,,0
250,"245,154,6","217,106,5","240,136,6","251,170,6","251,102,6",,0,,0,,0,,0,,0
251,"190,0,196","18,31,174","213,226,232","188,191,192","234,61,61",,0,,0,,0,,0,,0
252,"48,196,65","4,121,17","9,99,6","149,104,21","108,66,4",,0,,0,,0,,0,,0
253,"0,80,115","16,125,172","24,154,211","30,187,215","113,199,236",,0,,0,,0,,0,,0
254,"32,15,2","210,200,141","7,19,6","6,32,4","25,64,0",,0,,0,,0,,0,,0
255,"240,226,205","225,197,197","201,219,218","214,190,170","155,119,93",,0,,0,,0,,0,,0
256,"181,218,253","214,175,242","242,148,233","240,90,209","235,51,180",,0,,0,,0,,0,,0
257,"255,9,51","0,15,255","154,181,191","159,120,77","169,169,169",,0,,0,,0,,0,,0
258,"230,194,0","95,192,71","71,95,192","71,192,168","192,71,95",,0,,0,,0,,0,,0
259,"190,132,132","175,125,125","162,119,119","160,113,113","139,103,103",,0,,0,,0,,0,,0
260,"81,48,38","255,190,209","255,238,140","251,164,74","204,34,94",,0,,0,,0,,0,,0
261,"174,197,193","221,221,221","204,204,204","187,187,187","170,170,170",,0,,0,,0,,0,,0
262,"221,228,232","83,96,113","34,35,45","148,44,60","237,232,221",,0,,0,,0,,0,,0
263,"87,176,90","242,210,16","82,105,210","204,23,21","255,251,251",,0,,0,,0,,0,,0
264,"14,19,25","0,78,98","2,237,255","154,7,23","251,91,17",,0,,0,,0,,0,,0
265,"28,27,67","18,24,160","53,81,227","240,19,154","0,15,173",,0,,0,,0,,0,,0
266,"0,15,255","255,20,15","236,71,61","27,27,27","13,13,13",,0,,0,,0,,0,,0
267,"54,36,51","165,24,116","225,56,141","244,104,174","255,204,230",,0,,0,,0,,0,,0
268,"0,15,255","111,0,197","184,148,237","187,187,187","170,170,170",,0,,0,,0,,0,,0
269,"120,174,164","201,182,199","255,214,214","134,219,199","174,93,117",,0,,0,,0,,0,,0
270,"19,110,137","82,161,199","249,246,188","223,202,153","109,43,43",,0,,0,,0,,0,,0
271,"255,217,160","231,172,98","98,191,99","144,141,89","60,133,98",,0,,0,,0,,0,,0
272,"86,33,15","139,61,34","227,40,40","163,57,57","98,26,111",,0,,0,,0,,0,,0
273,"204,45,48","155,219,193","239,232,173","170,221,150","232,165,175",,0,,0,,0,,0,,0
274,"157,195,238","133,206,242","146,237,244","135,240,211","138,238,185",,0,,0,,0,,0,,0
275,"24,42,100","252,237,46","52,228,194","137,23,107","0,0,0",,0,,0,,0,,0,,0
276,"1,237,219","0,202,190","0,134,134","215,219,226","235,127,130",,0,,0,,0,,0,,0
277,"77,189,168","74,126,117","3,3,112","174,197,193","209,214,214",,0,,0,,0,,0,,0
278,"223,200,60","156,182,60","56,72,94","58,13,13","171,114,131",,0,,0,,0,,0,,0
279,"231,149,65","216,165,67","141,112,82","75,103,81","63,101,43",,0,,0,,0,,0,,0
280,"35,39,52","242,242,242","21,22,23","5,19,131","142,9,18",,0,,0,,0,,0,,0
281,"28,122,25","236,226,0","107,101,43","199,0,0","60,139,77",,0,,0,,0,,0,,0
